LengdeVvekst;LengdeValder;vekstaar;vekstalder;alder_aar;ID;tilv_lengde;klima;loknr;moh;lpnr;dato;aar;periode;navn;alder;lengde;vekt;kjonn;moden;moden1;tilvekstalder;tilvekst;inst_vekst;CPUE;Temp_mai;Temp_juni;Temp_juli;nedbor_mai;nedbor_juni;nedbor_juli;tempratur;nedbor;NaoV;Column1;_1;_2;_3;_4;_5
10;42.56;2002;0;1;220;Tilvekst;3;21;600;159;04.07.2008;2008;0;Gippernjaure;6;227;111.8;2;0;0;Tillvekst_0-1;42.56;1.629001619;3.509615;8.88;13.48333333;14.14333333;6.2;41.6;54.5;12.56214286;209.4;0.79;;;;;;
42.56;90.8;2003;1;2;220;Tilvekst;3;21;600;159;04.07.2008;2008;0;Gippernjaure;6;227;111.8;2;0;0;Tillvekst_1-2;48.24;1.202015901;3.509615;5.803333333;10.7;16.36666667;71.9;81.2;50;11.18776978;330.4;0.4;;;;;;
90.8;133.36;2004;2;3;220;Tilvekst;3;21;600;159;04.07.2008;2008;0;Gippernjaure;6;227;111.8;2;0;0;Tillvekst_2-3;42.56;1.085256598;3.509615;6.45;9.476666667;12.04333333;24.8;71.7;70.3;10.04892086;315.8;-0.2;;;;;;
133.36;170.25;2005;3;4;220;Tilvekst;3;21;600;159;04.07.2008;2008;0;Gippernjaure;6;227;111.8;2;0;0;Tillvekst_3-4;36.89;1.049910709;3.509615;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
170.25;195.79;2006;4;5;220;Tilvekst;3;21;600;159;04.07.2008;2008;0;Gippernjaure;6;227;111.8;2;0;0;Tillvekst_4-5;25.54;1.027207985;3.509615;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
195.79;10;2007;5;6;220;Tilvekst;3;21;600;159;04.07.2008;2008;0;Gippernjaure;6;227;111.8;2;0;0;Tillvekst_5-6;14.19;0.436340057;3.509615;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
10;44.54;2003;0;1;221;Tilvekst;3;21;600;160;04.07.2008;2008;0;Gippernjaure;5;218;103.4;2;0;0;Tillvekst_0-1;44.54;1.648750213;3.509615;5.803333333;10.7;16.36666667;71.9;81.2;50;11.18776978;330.4;0.4;;;;;;
44.54;77.35;2004;1;2;221;Tilvekst;3;21;600;160;04.07.2008;2008;0;Gippernjaure;5;218;103.4;2;0;0;Tillvekst_1-2;32.82;1.145388976;3.509615;6.45;9.476666667;12.04333333;24.8;71.7;70.3;10.04892086;315.8;-0.2;;;;;;
77.35;117.2;2005;2;3;221;Tilvekst;3;21;600;160;04.07.2008;2008;0;Gippernjaure;5;218;103.4;2;0;0;Tillvekst_2-3;39.85;1.095563191;3.509615;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
117.2;152.37;2006;3;4;221;Tilvekst;3;21;600;160;04.07.2008;2008;0;Gippernjaure;5;218;103.4;2;0;0;Tillvekst_3-4;35.16;1.055087406;3.509615;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
152.37;10;2007;4;5;221;Tilvekst;3;21;600;160;04.07.2008;2008;0;Gippernjaure;5;218;103.4;2;0;0;Tillvekst_4-5;37.51;0.458106301;3.509615;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
10;42.81;2003;0;1;222;Tilvekst;3;21;600;161;04.07.2008;2008;0;Gippernjaure;5;254;165.5;1;0;0;Tillvekst_0-1;42.81;1.631545228;3.509615;5.803333333;10.7;16.36666667;71.9;81.2;50;11.18776978;330.4;0.4;;;;;;
42.81;82.76;2004;1;2;222;Tilvekst;3;21;600;161;04.07.2008;2008;0;Gippernjaure;5;254;165.5;1;0;0;Tillvekst_1-2;39.96;1.175462653;3.509615;6.45;9.476666667;12.04333333;24.8;71.7;70.3;10.04892086;315.8;-0.2;;;;;;
82.76;136.99;2005;2;3;222;Tilvekst;3;21;600;161;04.07.2008;2008;0;Gippernjaure;5;254;165.5;1;0;0;Tillvekst_2-3;54.22;1.114123499;3.509615;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
136.99;185.51;2006;3;4;222;Tilvekst;3;21;600;161;04.07.2008;2008;0;Gippernjaure;5;254;165.5;1;0;0;Tillvekst_3-4;48.52;1.061627344;3.509615;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
185.51;10;2007;4;5;222;Tilvekst;3;21;600;161;04.07.2008;2008;0;Gippernjaure;5;254;165.5;1;0;0;Tillvekst_4-5;48.52;0.440845708;3.509615;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
10;43.85;2002;0;1;223;Tilvekst;3;21;600;162;04.07.2008;2008;0;Gippernjaure;6;228;114;1;0;0;Tillvekst_0-1;43.85;1.641969598;3.509615;8.88;13.48333333;14.14333333;6.2;41.6;54.5;12.56214286;209.4;0.79;;;;;;
43.85;78.92;2003;1;2;223;Tilvekst;3;21;600;162;04.07.2008;2008;0;Gippernjaure;6;228;114;1;0;0;Tillvekst_1-2;35.08;1.155433742;3.509615;5.803333333;10.7;16.36666667;71.9;81.2;50;11.18776978;330.4;0.4;;;;;;
78.92;124.96;2004;2;3;223;Tilvekst;3;21;600;162;04.07.2008;2008;0;Gippernjaure;6;228;114;1;0;0;Tillvekst_2-3;46.04;1.105199926;3.509615;6.45;9.476666667;12.04333333;24.8;71.7;70.3;10.04892086;315.8;-0.2;;;;;;
124.96;157.85;2005;3;4;223;Tilvekst;3;21;600;162;04.07.2008;2008;0;Gippernjaure;6;228;114;1;0;0;Tillvekst_3-4;32.88;1.04839516;3.509615;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
157.85;188.54;2006;4;5;223;Tilvekst;3;21;600;162;04.07.2008;2008;0;Gippernjaure;6;228;114;1;0;0;Tillvekst_4-5;30.69;1.035100242;3.509615;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
188.54;10;2007;5;6;223;Tilvekst;3;21;600;162;04.07.2008;2008;0;Gippernjaure;6;228;114;1;0;0;Tillvekst_5-6;26.31;0.439482491;3.509615;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
229.74;10;2007;6;7;224;Tilvekst;3;21;600;163;04.07.2008;2008;0;Gippernjaure;7;270;211.6;1;0;0;Tillvekst_6-7;26.05;0.4235069;3.509615;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
10;30.79;2001;0;1;224;Tilvekst;3;21;600;163;04.07.2008;2008;0;Gippernjaure;7;270;211.6;1;0;0;Tillvekst_0-1;30.79;1.488409689;3.509615;4.68;9.723333333;12.45666667;48.3;44.2;175.7;9.875539568;477.9;-0.5;;;;;;
30.79;66.32;2002;1;2;224;Tilvekst;3;21;600;163;04.07.2008;2008;0;Gippernjaure;7;270;211.6;1;0;0;Tillvekst_1-2;35.53;1.223886495;3.509615;8.88;13.48333333;14.14333333;6.2;41.6;54.5;12.56214286;209.4;0.79;;;;;;
66.32;113.68;2003;2;3;224;Tilvekst;3;21;600;163;04.07.2008;2008;0;Gippernjaure;7;270;211.6;1;0;0;Tillvekst_2-3;47.37;1.128477068;3.509615;5.803333333;10.7;16.36666667;71.9;81.2;50;11.18776978;330.4;0.4;;;;;;
113.68;156.32;2004;3;4;224;Tilvekst;3;21;600;163;04.07.2008;2008;0;Gippernjaure;7;270;211.6;1;0;0;Tillvekst_3-4;42.63;1.067291703;3.509615;6.45;9.476666667;12.04333333;24.8;71.7;70.3;10.04892086;315.8;-0.2;;;;;;
156.32;187.11;2005;4;5;224;Tilvekst;3;21;600;163;04.07.2008;2008;0;Gippernjaure;7;270;211.6;1;0;0;Tillvekst_4-5;30.79;1.035588849;3.509615;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
187.11;229.74;2006;5;6;224;Tilvekst;3;21;600;163;04.07.2008;2008;0;Gippernjaure;7;270;211.6;1;0;0;Tillvekst_5-6;42.63;1.039232312;3.509615;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
10;45.47;2002;0;1;225;Tilvekst;3;21;600;164;04.07.2008;2008;0;Gippernjaure;6;240;138.2;2;0;0;Tillvekst_0-1;45.47;1.657724954;3.509615;8.88;13.48333333;14.14333333;6.2;41.6;54.5;12.56214286;209.4;0.79;;;;;;
45.47;83.37;2003;1;2;225;Tilvekst;3;21;600;164;04.07.2008;2008;0;Gippernjaure;6;240;138.2;2;0;0;Tillvekst_1-2;37.89;1.158822998;3.509615;5.803333333;10.7;16.36666667;71.9;81.2;50;11.18776978;330.4;0.4;;;;;;
83.37;118.74;2004;2;3;225;Tilvekst;3;21;600;164;04.07.2008;2008;0;Gippernjaure;6;240;138.2;2;0;0;Tillvekst_2-3;35.37;1.079951306;3.509615;6.45;9.476666667;12.04333333;24.8;71.7;70.3;10.04892086;315.8;-0.2;;;;;;
118.74;149.05;2005;3;4;225;Tilvekst;3;21;600;164;04.07.2008;2008;0;Gippernjaure;6;240;138.2;2;0;0;Tillvekst_3-4;30.32;1.047592344;3.509615;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
149.05;176.84;2006;4;5;225;Tilvekst;3;21;600;164;04.07.2008;2008;0;Gippernjaure;6;240;138.2;2;0;0;Tillvekst_4-5;27.79;1.034163453;3.509615;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
176.84;10;2007;5;6;225;Tilvekst;3;21;600;164;04.07.2008;2008;0;Gippernjaure;6;240;138.2;2;0;0;Tillvekst_5-6;27.79;0.444922884;3.509615;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
202.31;10;2007;6;7;226;Tilvekst;3;21;600;165;04.07.2008;2008;0;Gippernjaure;7;230;125;2;0;0;Tillvekst_6-7;19.17;0.433648082;3.509615;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
10;36.2;2001;0;1;226;Tilvekst;3;21;600;165;04.07.2008;2008;0;Gippernjaure;7;230;125;2;0;0;Tillvekst_0-1;36.2;1.558708571;3.509615;4.68;9.723333333;12.45666667;48.3;44.2;175.7;9.875539568;477.9;-0.5;;;;;;
36.2;70.28;2002;1;2;226;Tilvekst;3;21;600;165;04.07.2008;2008;0;Gippernjaure;7;230;125;2;0;0;Tillvekst_1-2;34.07;1.184847372;3.509615;8.88;13.48333333;14.14333333;6.2;41.6;54.5;12.56214286;209.4;0.79;;;;;;
70.28;117.13;2003;2;3;226;Tilvekst;3;21;600;165;04.07.2008;2008;0;Gippernjaure;7;230;125;2;0;0;Tillvekst_2-3;46.85;1.120117271;3.509615;5.803333333;10.7;16.36666667;71.9;81.2;50;11.18776978;330.4;0.4;;;;;;
117.13;151.2;2004;3;4;226;Tilvekst;3;21;600;165;04.07.2008;2008;0;Gippernjaure;7;230;125;2;0;0;Tillvekst_3-4;34.07;1.053601467;3.509615;6.45;9.476666667;12.04333333;24.8;71.7;70.3;10.04892086;315.8;-0.2;;;;;;
151.2;181.02;2005;4;5;226;Tilvekst;3;21;600;165;04.07.2008;2008;0;Gippernjaure;7;230;125;2;0;0;Tillvekst_4-5;29.81;1.03586736;3.509615;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
181.02;202.31;2006;5;6;226;Tilvekst;3;21;600;165;04.07.2008;2008;0;Gippernjaure;7;230;125;2;0;0;Tillvekst_5-6;21.3;1.021389122;3.509615;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
253.12;10;2007;6;7;228;Tilvekst;3;21;600;168;04.07.2008;2008;0;Gippernjaure;7;310;309;2;1;1;Tillvekst_6-7;39.82;0.416089955;3.509615;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
10;71.1;2001;0;1;228;Tilvekst;3;21;600;168;04.07.2008;2008;0;Gippernjaure;7;310;309;2;1;1;Tillvekst_0-1;71.1;1.851869601;3.509615;4.68;9.723333333;12.45666667;48.3;44.2;175.7;9.875539568;477.9;-0.5;;;;;;
71.1;116.61;2002;1;2;228;Tilvekst;3;21;600;168;04.07.2008;2008;0;Gippernjaure;7;310;309;2;1;1;Tillvekst_1-2;45.5;1.116026633;3.509615;8.88;13.48333333;14.14333333;6.2;41.6;54.5;12.56214286;209.4;0.79;;;;;;
116.61;153.58;2003;2;3;228;Tilvekst;3;21;600;168;04.07.2008;2008;0;Gippernjaure;7;310;309;2;1;1;Tillvekst_2-3;36.97;1.057868484;3.509615;5.803333333;10.7;16.36666667;71.9;81.2;50;11.18776978;330.4;0.4;;;;;;
153.58;199.08;2004;3;4;228;Tilvekst;3;21;600;168;04.07.2008;2008;0;Gippernjaure;7;310;309;2;1;1;Tillvekst_3-4;45.5;1.051544245;3.509615;6.45;9.476666667;12.04333333;24.8;71.7;70.3;10.04892086;315.8;-0.2;;;;;;
199.08;227.52;2005;4;5;228;Tilvekst;3;21;600;168;04.07.2008;2008;0;Gippernjaure;7;310;309;2;1;1;Tillvekst_4-5;28.44;1.025224554;3.509615;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
227.52;253.12;2006;5;6;228;Tilvekst;3;21;600;168;04.07.2008;2008;0;Gippernjaure;7;310;309;2;1;1;Tillvekst_5-6;25.6;1.019646372;3.509615;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
10;37.78;2000;0;1;229;Tilvekst;3;21;600;169;04.07.2008;2008;0;Gippernjaure;8;340;478.3;2;1;1;Tillvekst_0-1;37.78;1.577261954;3.509615;6.67;7.65;12.24666667;37.6;106.4;134.8;9.597142857;407.6;1.85;;;;;;
37.78;87.18;2001;1;2;229;Tilvekst;3;21;600;169;04.07.2008;2008;0;Gippernjaure;8;340;478.3;2;1;1;Tillvekst_1-2;49.4;1.230243879;3.509615;4.68;9.723333333;12.45666667;48.3;44.2;175.7;9.875539568;477.9;-0.5;;;;;;
87.18;133.68;2002;2;3;229;Tilvekst;3;21;600;169;04.07.2008;2008;0;Gippernjaure;8;340;478.3;2;1;1;Tillvekst_2-3;46.5;1.095675097;3.509615;8.88;13.48333333;14.14333333;6.2;41.6;54.5;12.56214286;209.4;0.79;;;;;;
133.68;180.17;2003;3;4;229;Tilvekst;3;21;600;169;04.07.2008;2008;0;Gippernjaure;8;340;478.3;2;1;1;Tillvekst_3-4;46.5;1.060965189;3.509615;5.803333333;10.7;16.36666667;71.9;81.2;50;11.18776978;330.4;0.4;;;;;;
180.17;229.57;2004;4;5;229;Tilvekst;3;21;600;169;04.07.2008;2008;0;Gippernjaure;8;340;478.3;2;1;1;Tillvekst_4-5;49.4;1.046652247;3.509615;6.45;9.476666667;12.04333333;24.8;71.7;70.3;10.04892086;315.8;-0.2;;;;;;
229.57;267.35;2005;5;6;229;Tilvekst;3;21;600;169;04.07.2008;2008;0;Gippernjaure;8;340;478.3;2;1;1;Tillvekst_5-6;37.78;1.028025173;3.509615;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
310.94;10;2007;7;8;229;Tilvekst;3;21;600;169;04.07.2008;2008;0;Gippernjaure;8;340;478.3;2;1;1;Tillvekst_7-8;20.34;0.401175187;3.509615;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
267.35;310.94;2006;6;7;229;Tilvekst;3;21;600;169;04.07.2008;2008;0;Gippernjaure;8;340;478.3;2;1;1;Tillvekst_6-7;43.59;1.02702688;3.509615;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
10;35.26;1999;0;1;230;Tilvekst;3;21;600;170;04.07.2008;2008;0;Gippernjaure;9;345;441.3;2;1;1;Tillvekst_0-1;35.26;1.547282308;3.509615;4.82;10.85;11.51333333;22.4;73.8;84;10.25395683;259.7;0.98;;;;;;
35.26;65.47;2000;1;2;230;Tilvekst;3;21;600;170;04.07.2008;2008;0;Gippernjaure;9;345;441.3;2;1;1;Tillvekst_1-2;30.22;1.173698123;3.509615;6.67;7.65;12.24666667;37.6;106.4;134.8;9.597142857;407.6;1.85;;;;;;
65.47;93.18;2001;2;3;230;Tilvekst;3;21;600;170;04.07.2008;2008;0;Gippernjaure;9;345;441.3;2;1;1;Tillvekst_2-3;27.7;1.08440352;3.509615;4.68;9.723333333;12.45666667;48.3;44.2;175.7;9.875539568;477.9;-0.5;;;;;;
93.18;130.95;2002;3;4;230;Tilvekst;3;21;600;170;04.07.2008;2008;0;Gippernjaure;9;345;441.3;2;1;1;Tillvekst_3-4;37.77;1.075042448;3.509615;8.88;13.48333333;14.14333333;6.2;41.6;54.5;12.56214286;209.4;0.79;;;;;;
130.95;166.2;2003;4;5;230;Tilvekst;3;21;600;170;04.07.2008;2008;0;Gippernjaure;9;345;441.3;2;1;1;Tillvekst_4-5;35.26;1.048899555;3.509615;5.803333333;10.7;16.36666667;71.9;81.2;50;11.18776978;330.4;0.4;;;;;;
166.2;203.98;2004;5;6;230;Tilvekst;3;21;600;170;04.07.2008;2008;0;Gippernjaure;9;345;441.3;2;1;1;Tillvekst_5-6;37.77;1.04005914;3.509615;6.45;9.476666667;12.04333333;24.8;71.7;70.3;10.04892086;315.8;-0.2;;;;;;
251.82;294.64;2006;7;8;230;Tilvekst;3;21;600;170;04.07.2008;2008;0;Gippernjaure;9;345;441.3;2;1;1;Tillvekst_7-8;42.81;1.028404383;3.509615;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
294.64;10;2007;8;9;230;Tilvekst;3;21;600;170;04.07.2008;2008;0;Gippernjaure;9;345;441.3;2;1;1;Tillvekst_8-9;35.26;0.40497443;3.509615;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
203.98;251.82;2005;6;7;230;Tilvekst;3;21;600;170;04.07.2008;2008;0;Gippernjaure;9;345;441.3;2;1;1;Tillvekst_6-7;47.85;1.039618602;3.509615;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
10;70.67;2002;0;1;231;Tilvekst;3;21;600;171;04.07.2008;2008;0;Gippernjaure;6;318;383.5;2;1;1;Tillvekst_0-1;70.67;1.849235091;3.509615;8.88;13.48333333;14.14333333;6.2;41.6;54.5;12.56214286;209.4;0.79;;;;;;
70.67;117.78;2003;1;2;231;Tilvekst;3;21;600;171;04.07.2008;2008;0;Gippernjaure;6;318;383.5;2;1;1;Tillvekst_1-2;47.11;1.119961199;3.509615;5.803333333;10.7;16.36666667;71.9;81.2;50;11.18776978;330.4;0.4;;;;;;
117.78;161.94;2004;2;3;231;Tilvekst;3;21;600;171;04.07.2008;2008;0;Gippernjaure;6;318;383.5;2;1;1;Tillvekst_2-3;44.17;1.066768618;3.509615;6.45;9.476666667;12.04333333;24.8;71.7;70.3;10.04892086;315.8;-0.2;;;;;;
161.94;197.28;2005;3;4;231;Tilvekst;3;21;600;171;04.07.2008;2008;0;Gippernjaure;6;318;383.5;2;1;1;Tillvekst_3-4;35.33;1.038802708;3.509615;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
197.28;241.44;2006;4;5;231;Tilvekst;3;21;600;171;04.07.2008;2008;0;Gippernjaure;6;318;383.5;2;1;1;Tillvekst_4-5;44.17;1.038223524;3.509615;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
241.44;10;2007;5;6;231;Tilvekst;3;21;600;171;04.07.2008;2008;0;Gippernjaure;6;318;383.5;2;1;1;Tillvekst_5-6;58.89;0.419672708;3.509615;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
10;34.7;2002;0;1;232;Tilvekst;3;21;600;172;04.07.2008;2008;0;Gippernjaure;6;233;134.7;2;1;1;Tillvekst_0-1;34.7;1.540329475;3.509615;8.88;13.48333333;14.14333333;6.2;41.6;54.5;12.56214286;209.4;0.79;;;;;;
34.7;79.32;2003;1;2;232;Tilvekst;3;21;600;172;04.07.2008;2008;0;Gippernjaure;6;233;134.7;2;1;1;Tillvekst_1-2;44.62;1.233101578;3.509615;5.803333333;10.7;16.36666667;71.9;81.2;50;11.18776978;330.4;0.4;;;;;;
79.32;118.98;2004;2;3;232;Tilvekst;3;21;600;172;04.07.2008;2008;0;Gippernjaure;6;233;134.7;2;1;1;Tillvekst_2-3;39.66;1.092709731;3.509615;6.45;9.476666667;12.04333333;24.8;71.7;70.3;10.04892086;315.8;-0.2;;;;;;
118.98;163.6;2005;3;4;232;Tilvekst;3;21;600;172;04.07.2008;2008;0;Gippernjaure;6;233;134.7;2;1;1;Tillvekst_3-4;44.62;1.066639879;3.509615;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
163.6;193.34;2006;4;5;232;Tilvekst;3;21;600;172;04.07.2008;2008;0;Gippernjaure;6;233;134.7;2;1;1;Tillvekst_4-5;29.74;1.032766719;3.509615;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
193.34;10;2007;5;6;232;Tilvekst;3;21;600;172;04.07.2008;2008;0;Gippernjaure;6;233;134.7;2;1;1;Tillvekst_5-6;24.79;0.747421339;3.509615;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
10;85.25;1998;1;2;233;Tilvekst;3;21;600;176;04.07.2008;2008;0;Gippernjaure;11;395;681.2;1;0;0;Tillvekst_1-2;34.1;1.12982375;3.509615;4.166666667;9.086666667;12.00333333;26.8;128.8;102.9;9.412230216;357.6;0.8;;;;;;
85.25;113.67;1999;2;3;233;Tilvekst;3;21;600;176;04.07.2008;2008;0;Gippernjaure;11;395;681.2;1;0;0;Tillvekst_2-3;28.42;1.064718411;3.509615;4.82;10.85;11.51333333;22.4;73.8;84;10.25395683;259.7;0.98;;;;;;
113.67;153.45;2000;3;4;233;Tilvekst;3;21;600;176;04.07.2008;2008;0;Gippernjaure;11;395;681.2;1;0;0;Tillvekst_3-4;39.78;1.063396636;3.509615;6.67;7.65;12.24666667;37.6;106.4;134.8;9.597142857;407.6;1.85;;;;;;
153.45;181.87;2001;4;5;233;Tilvekst;3;21;600;176;04.07.2008;2008;0;Gippernjaure;11;395;681.2;1;0;0;Tillvekst_4-5;28.42;1.033758139;3.509615;4.68;9.723333333;12.45666667;48.3;44.2;175.7;9.875539568;477.9;-0.5;;;;;;
181.87;207.45;2002;5;6;233;Tilvekst;3;21;600;176;04.07.2008;2008;0;Gippernjaure;11;395;681.2;1;0;0;Tillvekst_5-6;25.58;1.025291334;3.509615;8.88;13.48333333;14.14333333;6.2;41.6;54.5;12.56214286;209.4;0.79;;;;;;
235.86;275.65;2004;7;8;233;Tilvekst;3;21;600;176;04.07.2008;2008;0;Gippernjaure;11;395;681.2;1;0;0;Tillvekst_7-8;39.78;1.028535005;3.509615;6.45;9.476666667;12.04333333;24.8;71.7;70.3;10.04892086;315.8;-0.2;;;;;;
275.65;312.59;2005;8;9;233;Tilvekst;3;21;600;176;04.07.2008;2008;0;Gippernjaure;11;395;681.2;1;0;0;Tillvekst_8-9;36.94;1.022380767;3.509615;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
312.59;10;2006;9;10;233;Tilvekst;3;21;600;176;04.07.2008;2008;0;Gippernjaure;11;395;681.2;1;0;0;Tillvekst_9-10;39.78;0.400805606;3.509615;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
10;42.52;2004;0;1;234;Tilvekst;3;21;600;177;04.07.2008;2008;0;Gippernjaure;4;157;41.9;1;0;0;Tillvekst_0-1;42.52;1.628593256;3.509615;6.45;9.476666667;12.04333333;24.8;71.7;70.3;10.04892086;315.8;-0.2;;;;;;
42.52;81.77;2005;1;2;234;Tilvekst;3;21;600;177;04.07.2008;2008;0;Gippernjaure;4;157;41.9;1;0;0;Tillvekst_1-2;39.25;1.174384083;3.509615;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
81.77;124.29;2006;2;3;234;Tilvekst;3;21;600;177;04.07.2008;2008;0;Gippernjaure;4;157;41.9;1;0;0;Tillvekst_2-3;42.52;1.095076211;3.509615;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
124.29;10;2007;3;4;234;Tilvekst;3;21;600;177;04.07.2008;2008;0;Gippernjaure;4;157;41.9;1;0;0;Tillvekst_3-4;26.17;0.477455463;3.509615;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
10;34.74;2003;0;1;235;Tilvekst;3;21;600;179;04.07.2008;2008;0;Gippernjaure;5;227;114.8;1;0;0;Tillvekst_0-1;34.74;1.540829814;3.509615;5.803333333;10.7;16.36666667;71.9;81.2;50;11.18776978;330.4;0.4;;;;;;
34.74;71.81;2004;1;2;235;Tilvekst;3;21;600;179;04.07.2008;2008;0;Gippernjaure;5;227;114.8;1;0;0;Tillvekst_1-2;37.06;1.204665765;3.509615;6.45;9.476666667;12.04333333;24.8;71.7;70.3;10.04892086;315.8;-0.2;;;;;;
71.81;132.03;2007;4;5;235;Tilvekst;3;21;600;179;04.07.2008;2008;0;Gippernjaure;5;227;114.8;1;0;0;Tillvekst_4-5;34.74;1.14248995;3.509615;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
132.03;10;2008;5;6;235;Tilvekst;3;21;600;179;04.07.2008;2008;0;Gippernjaure;5;227;114.8;1;0;0;Tillvekst_5-6;46.33;0.471548503;3.509615;5.703333333;11.27333333;13.95;34.7;84.9;30.9;10.27625899;253.8;1.37;;;;;;
10;77.88;2003;0;1;236;Tilvekst;3;21;600;180;04.07.2008;2008;0;Gippernjaure;5;239;134.5;2;0;0;Tillvekst_0-1;77.88;1.891425943;3.509615;5.803333333;10.7;16.36666667;71.9;81.2;50;11.18776978;330.4;0.4;;;;;;
77.88;107.42;2004;1;2;236;Tilvekst;3;21;600;180;04.07.2008;2008;0;Gippernjaure;5;239;134.5;2;0;0;Tillvekst_1-2;29.54;1.073838051;3.509615;6.45;9.476666667;12.04333333;24.8;71.7;70.3;10.04892086;315.8;-0.2;;;;;;
107.42;155.75;2005;2;3;236;Tilvekst;3;21;600;180;04.07.2008;2008;0;Gippernjaure;5;239;134.5;2;0;0;Tillvekst_2-3;48.34;1.079436801;3.509615;3.983333333;8.766666667;14.92666667;63.2;71.6;57.9;10.11870504;405.7;-0.11;;;;;;
155.75;190.66;2006;3;4;236;Tilvekst;3;21;600;180;04.07.2008;2008;0;Gippernjaure;5;239;134.5;2;0;0;Tillvekst_3-4;34.91;1.040061307;3.509615;6.823333333;10.13666667;13.42333333;43.5;57.9;94.3;11.75899281;291.7;-0.82;;;;;;
190.66;10;2007;4;5;236;Tilvekst;3;21;600;180;04.07.2008;2008;0;Gippernjaure;5;239;134.5;2;0;0;Tillvekst_4-5;26.85;0.438546561;3.509615;5.39;12.25333333;13.98;52.3;8.8;101;10.66402878;289.1;1.83;;;;;;
